,  ,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,0 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,n ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,0 ,    ,  ,  ,  ,  ,
,  ,  ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,n ,n ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,0 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,0 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,0 ,    ,  ,  ,  ,  ,
,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,0 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,
,  ,  ,  ,h ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,1 ,    ,  ,  ,  ,  ,

 1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18      l       c1 i1 c2 i2
 13 15 27 1  13 15 27 29 10 12 24 26 8  10 22 24 5  7
 feb      mar            apr         may         jun 

@n=4
#@n=18
@p=1
@a=3
@b=2
@c=1
@h=1

# Комментарии к оценкам

# Рейтинг

vim: set nowrap:
